subject_id,Runtime_mod,Task_name,Deliberate_response,Intrusive_response,Knowledge_response,Images_response,Past_response,Self_response,Distracting_response,Emotion_response,Absorption_response,Detailed_response,Words_response,Focus_response,Problem_response,Future_response,Other_response,Sounds_response
subject_2,6,Wordle,7.900000000000007,2.699999999999999,10.0,2.1999999999999997,6.499999999999997,6.700000000000005,1.2999999999999998,5.000000000000019,9.599999999999987,8.39999999999999,10.0,10.0,10.0,1.0,5.0,1.6000000000000043
subject_2,6,Wordle,10.0,6.599999999999994,10.0,6.599999999999996,7.20000000000001,7.300000000000002,1.5000000000000149,4.900000000000002,10.0,8.799999999999997,10.0,10.0,10.0,2.100000000000001,2.2000000000000157,2.5000000000000155
subject_2,6,Wordle,10.0,7.699999999999994,10.0,7.499999999999996,7.199999999999997,3.900000000000001,2.3000000000000047,4.900000000000002,10.0,9.000000000000004,10.0,10.0,10.0,1.9,2.7000000000000117,2.9999999999999987
subject_2,-6,Dirt_5,7.600000000000005,1.0,7.899999999999991,2.8000000000000047,6.6000000000000085,7.499999999999994,2.0000000000000115,2.000000000000008,7.699999999999991,2.2000000000000046,1.0,2.9000000000000017,6.2000000000000135,1.9000000000000044,3.200000000000009,1.7000000000000002
subject_2,-6,Dirt_5,7.199999999999994,2.6000000000000014,7.599999999999992,2.9000000000000012,2.899999999999999,7.699999999999991,2.0,2.000000000000015,4.100000000000001,2.7000000000000086,1.0,3.0,3.9,1.6999999999999984,4.500000000000002,1.7
subject_2,-6,Dirt_5,8.19999999999999,2.0,7.600000000000005,2.300000000000012,3.3999999999999986,7.299999999999994,2.300000000000012,3.5000000000000018,2.6,2.6000000000000085,1.0,2.200000000000001,2.8,3.300000000000001,4.200000000000006,1.5999999999999992
subject_2,12,The_Long_Dark,7.300000000000006,1.000000000000001,8.8,6.599999999999995,2.6999999999999984,7.3999999999999915,1.4999999999999984,2.1,8.1,7.499999999999994,1.0,2.9,9.899999999999984,7.9999999999999885,1.8000000000000045,2.4000000000000115
subject_2,12,The_Long_Dark,3.6000000000000023,3.000000000000009,7.999999999999992,2.5000000000000004,2.6000000000000014,7.0,2.9000000000000017,4.0,8.100000000000009,7.199999999999994,3.100000000000016,1.0999999999999994,8.09999999999999,8.700000000000001,3.2999999999999994,1.2000000000000082
subject_2,12,The_Long_Dark,4.000000000000013,3.8000000000000096,8.2,2.6000000000000014,2.3000000000000007,7.899999999999991,1.7000000000000008,3.900000000000013,5.900000000000015,6.399999999999997,3.8000000000000016,3.3000000000000163,8.89999999999999,7.700000000000008,2.099999999999999,1.5000000000000044
subject_3,-7,Dirt_5,5.100000000000009,2.099999999999997,5.3000000000000025,9.400000000000002,3.000000000000009,6.0,2.3000000000000083,4.400000000000009,9.0,4.000000000000001,4.100000000000009,3.7000000000000064,9.199999999999992,6.1999999999999975,1.8999999999999992,1.9000000000000044
subject_3,-7,Dirt_5,5.6,1.7999999999999985,4.800000000000003,7.299999999999994,2.9000000000000012,7.599999999999992,2.599999999999998,4.600000000000001,5.900000000000004,4.100000000000003,2.2999999999999985,1.8999999999999992,2.700000000000001,3.0,4.0,1.8000000000000116
subject_3,-7,Dirt_5,5.400000000000006,2.900000000000009,4.300000000000018,7.500000000000008,3.8000000000000065,6.399999999999999,1.8999999999999984,6.000000000000004,5.0,5.0,2.8000000000000007,1.0,5.599999999999999,6.099999999999998,3.1999999999999997,2.9999999999999987
subject_3,5,Tetris_Effect:_Connected,8.099999999999993,3.0,3.000000000000009,8.199999999999989,3.0000000000000053,9.699999999999998,2.3000000000000047,6.300000000000006,8.499999999999988,8.499999999999988,2.900000000000009,2.400000000000005,10.0,8.399999999999986,2.0,2.0
subject_3,5,Tetris_Effect:_Connected,7.700000000000005,1.7000000000000153,5.0,8.799999999999994,6.6999999999999975,10.0,2.300000000000012,6.199999999999997,8.0,6.399999999999998,2.900000000000005,1.8000000000000151,8.0,7.79999999999999,1.800000000000001,2.900000000000005
subject_3,5,Tetris_Effect:_Connected,8.39999999999999,1.0,9.100000000000003,10.0,7.9999999999999885,8.899999999999991,1.0,8.299999999999995,8.999999999999988,9.099999999999996,1.3999999999999997,1.0,8.0,9.099999999999987,1.0,1.8000000000000045
subject_3,13,Viewfinder,1.7999999999999976,3.100000000000009,1.000000000000001,8.0,2.1999999999999984,6.0,1.9999999999999984,5.299999999999999,5.000000000000019,2.9000000000000012,1.3000000000000047,3.9000000000000026,3.4999999999999987,2.799999999999999,2.1,1.0
