gamecode,title,shorthand
A,Dirt 5,DIRT
B,Viewfinder,VIEWFIND
C,NBA 2K24,NBA
D,Tetris Effect: Connected,TETRIS
E,The Long Dark,LONGDARK
F,Wordle,WORDLE
