subject_id,Runtime_mod,Task_name,Deliberate_response,Absorption_response,Distracting_response,Past_response,Intrusive_response,Focus_response,Future_response,Images_response,Sounds_response,Words_response,Detailed_response,Knowledge_response,Problem_response,Self_response,Emotion_response,Other_response
subject_1,8,Viewfinder,5.200000000000006,7.199999999999991,2.400000000000001,6.400000000000002,3.4999999999999987,2.0,4.5000000000000115,10.0,8.499999999999995,6.600000000000005,4.299999999999999,6.6000000000000085,7.700000000000005,4.700000000000003,10.0,2.0
subject_1,8,Viewfinder,1.0,4.5000000000000115,1.0,3.3000000000000163,8.299999999999986,5.899999999999999,7.100000000000009,10.0,5.5,8.999999999999988,2.599999999999998,5.000000000000003,7.799999999999994,6.600000000000013,10.0,2.0
subject_1,8,Viewfinder,1.0,9.399999999999988,1.0,5.700000000000014,8.0,2.0,7.0,10.0,8.299999999999995,9.399999999999988,1.0,3.3999999999999986,9.300000000000002,1.0,10.0,1.0
subject_1,15,Wordle,7.9999999999999885,5.999999999999999,9.199999999999985,6.600000000000005,7.599999999999992,6.300000000000013,8.0,7.0,3.0000000000000018,4.4,1.0,8.499999999999988,6.299999999999995,5.5000000000000115,4.4,4.0
subject_1,15,Wordle,2.1999999999999997,9.000000000000004,7.899999999999991,7.599999999999992,6.0,6.300000000000006,4.000000000000003,8.09999999999999,4.300000000000013,10.0,1.600000000000008,9.199999999999992,8.400000000000006,6.900000000000008,2.5000000000000115,1.0
subject_1,15,Wordle,5.0,9.0,10.0,6.899999999999995,7.500000000000008,5.300000000000012,6.1999999999999975,8.100000000000009,2.000000000000008,9.699999999999998,5.6,9.899999999999984,8.400000000000002,2.200000000000001,2.0,1.0
subject_1,-9,Tetris_Effect:_Connected,6.899999999999994,8.599999999999994,2.3000000000000007,4.600000000000001,3.0,2.8000000000000007,8.400000000000006,9.299999999999997,1.0,3.400000000000009,2.899999999999999,6.900000000000012,8.59999999999999,2.4999999999999987,6.299999999999996,1.0
subject_1,-9,Tetris_Effect:_Connected,6.599999999999998,8.199999999999989,7.900000000000007,3.8000000000000065,4.200000000000001,2.5000000000000084,8.199999999999996,10.0,5.499999999999999,3.300000000000009,3.5000000000000093,7.099999999999995,8.799999999999986,3.4000000000000057,8.300000000000006,1.0
subject_1,-9,Tetris_Effect:_Connected,4.400000000000007,6.6999999999999975,3.8000000000000167,5.100000000000009,3.7000000000000064,3.200000000000002,6.9999999999999964,9.099999999999987,7.3999999999999915,6.399999999999995,5.6000000000000165,7.399999999999991,10.0,1.0999999999999994,9.499999999999988,1.0
subject_1,12,The_Long_Dark,5.500000000000001,6.900000000000012,2.1999999999999984,6.899999999999997,7.699999999999991,2.0000000000000115,7.400000000000008,8.899999999999991,4.5000000000000115,8.29999999999999,6.699999999999997,2.3,9.399999999999986,7.300000000000002,10.0,4.900000000000012
subject_1,12,The_Long_Dark,7.3999999999999915,1.9999999999999971,3.3000000000000163,2.4999999999999987,4.5000000000000115,1.5000000000000149,7.199999999999994,7.79999999999999,3.000000000000009,5.400000000000006,7.700000000000005,8.69999999999999,9.0,6.7999999999999945,10.0,3.0
subject_1,12,The_Long_Dark,4.0,4.900000000000002,2.1000000000000147,6.600000000000013,7.299999999999999,2.200000000000012,6.4999999999999964,9.799999999999997,3.100000000000009,5.499999999999997,6.30000000000001,8.09999999999999,8.599999999999994,3.0000000000000018,10.0,5.800000000000014
